id,source_table,source_id,asset_type,category,content_hebrew,title_hebrew,description_hebrew,keywords,acupoints,metadata,search_vector,embedding,created_at,updated_at
11,bible_rag_clinical_cases_20260129,306,clinical_case,astrology,"מה משמעות חודש נחש (יין אדמה)? חודש נחש (巳) = אש/אדמה. חום פנימי, לחות. מאזנים עם מתכת/מים: LU7, KI7. LU7: מתכת ריאות | KI7: מים כליות | SP9: מנקז אדמה לחה צ'ינג האו (Scutellaria baicalensis) - מקרר אש אדמה",מה משמעות חודש נחש (יין אדמה)?,LU7: מתכת ריאות | KI7: מים כליות | SP9: מנקז אדמה לחה,"[""נחש יין"",""יין"",""חודש"",""מה משמעות"",""משמעות"",""חום"",""חודש נחש"",""משמעות חודש"",""נחש"",""אדמה"",""מתכת"",""לחות מאזנים"",""יין אדמה""]","[""LU7"",""KI7"",""SP9""]",,"'baicalensis':35 'ki7':20,24,48 'lu7':19,21,45 'scutellaria':34 'sp9':27,51 'אדמה':6,11,29,38,44,53 'אש':10,37 'האו':33 'חודש':3,7,41 'חום':12 'יין':5,43 'ינג':32 'כליות':26,50 'לחה':30,54 'לחות':14 'מאזנים':15 'מה':1,39 'מים':18,25,49 'מנקז':28,52 'מקרר':36 'משמעות':2,40 'מתכת':17,22,46 'נחש':4,8,42 'עם':16 'פנימי':13 'צ':31 'ריאות':23,47 '巳':9",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
12,bible_rag_clinical_cases_20260129,307,clinical_case,astrology,"חודש עז (יינג מתכת) - בעיות? חודש עז (申) מתכת חזקה גורמת יובש, גרד, נשירת שיער. מזין מים/עץ: KI6, LV8. KI6: מים כליות | LV8: עץ כבד | BL23: מחזק כליות שזיפים שחורים (Prunus nigra) - מים, פשתן (Linum usitatissimum) - עץ",חודש עז (יינג מתכת) - בעיות?,KI6: מים כליות | LV8: עץ כבד | BL23: מחזק כליות,"[""יינג"",""גורמת יובש"",""מתכת בעיות"",""מים עץ"",""יובש"",""חודש"",""חודש עז"",""מתכת"",""עז מתכת"",""בעיות"",""עז יינג"",""יינג מתכת""]","[""KI6"",""LV8"",""BL23""]",,"'bl23':27,50 'ki6':19,21,44 'linum':36 'lv8':20,24,47 'nigra':33 'prunus':32 'usitatissimum':37 'בעיות':5,43 'גורמת':11 'גרד':13 'חודש':1,6,39 'חזקה':10 'יובש':12 'יינג':3,41 'כבד':26,49 'כליות':23,29,46,52 'מזין':16 'מחזק':28,51 'מים':17,22,34,45 'מתכת':4,9,42 'נשירת':14 'עז':2,7,40 'עץ':18,25,38,48 'פשתן':35 'שזיפים':30 'שחורים':31 'שיער':15 '申':8",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
13,bible_rag_clinical_cases_20260129,308,clinical_case,astrology,"יום חזיר (יינג מים) - תכונות? יום חזיר (亥) מים חזקים: חכם, אינטואיטיבי, אבל קר/לח. מחמם עם אש/אדמה: ST36, REN12. ST36: אדמה טחול | REN12: אש קיבה | BL20: מחזק טחול אורז (Oryza sativa) - אדמה, ג'ינג'ר (Zingiber) - אש",יום חזיר (יינג מים) - תכונות?,ST36: אדמה טחול | REN12: אש קיבה | BL20: מחזק טחול,"[""יום חזיר"",""יינג"",""אבל קר"",""חכם"",""מים"",""עם אש"",""מחמם"",""אדמה"",""תכונות"",""יום"",""חזיר יינג"",""מים תכונות"",""יינג מים"",""חזיר""]","[""REN12"",""ST36"",""BL20""]",,"'bl20':28,51 'oryza':32 'ren12':21,25,48 'sativa':33 'st36':20,22,45 'zingiber':38 'אבל':13 'אדמה':19,23,34,46 'אורז':31 'אינטואיטיבי':12 'אש':18,26,39,49 'ג':35 'חזיר':2,7,41 'חזקים':10 'חכם':11 'טחול':24,30,47,53 'יום':1,6,40 'יינג':3,42 'ינג':36 'לח':15 'מחזק':29,52 'מחמם':16 'מים':4,9,43 'עם':17 'קיבה':27,50 'קר':14 'ר':37 'תכונות':5,44 '亥':8",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
14,bible_rag_clinical_cases_20260129,309,clinical_case,astrology,"יום טיגר (יאנג עץ) - מאזן? יום טיגר (寅) עץ חזק: שאפתן, כועס. מאזן עם מתכת/אש: LU5, HT8. LU5: מתכת ריאות | HT8: אש לב | LV3: מרגיע עץ תפוחים (Malus domestica) - מתכת, קינמון (Cinnamomum) - אש",יום טיגר (יאנג עץ) - מאזן?,LU5: מתכת ריאות | HT8: אש לב | LV3: מרגיע עץ,"[""עץ מאזן"",""שאפתן כועס"",""טיגר יאנג"",""מאזן"",""עם מתכת"",""חזק שאפתן"",""יאנג"",""טיגר"",""יאנג עץ"",""יום"",""יום טיגר""]","[""LU5"",""LV3"",""HT8""]",,"'cinnamomum':33 'domestica':30 'ht8':18,22,43 'lu5':17,19,40 'lv3':25,46 'malus':29 'אש':16,23,34,44 'חזק':10 'טיגר':2,7,36 'יאנג':3,37 'יום':1,6,35 'כועס':12 'לב':24,45 'מאזן':5,13,39 'מרגיע':26,47 'מתכת':15,20,31,41 'עם':14 'עץ':4,9,27,38,48 'קינמון':32 'ריאות':21,42 'שאפתן':11 'תפוחים':28 '寅':8",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
15,bible_rag_clinical_cases_20260129,313,clinical_case,astrology,"עודף אש - איך מקררים? עודף אש (לב/קיבה): עצבנות, פצעי פה, צמא. מקררים עם מים/מתכת: KI6, LU9. KI6: מים | LU9: מתכת | LI11: מפזר חום צ'ינג האו (Scutellaria baicalensis), לוטוס (Nelumbo)",עודף אש - איך מקררים?,KI6: מים | LU9: מתכת | LI11: מפזר חום,"[""לב קיבה"",""עודף אש"",""עודף"",""צמא מקררים"",""עצבנות"",""איך"",""מים מתכת"",""אש איך"",""מקררים"",""מתכת"",""איך מקררים""]","[""KI6"",""LU9"",""LI11""]",,"'baicalensis':30 'ki6':17,19,37 'li11':23,41 'lu9':18,21,39 'nelumbo':32 'scutellaria':29 'איך':3,35 'אש':2,6,34 'האו':28 'חום':25,43 'ינג':27 'לב':7 'לוטוס':31 'מים':15,20,38 'מפזר':24,42 'מקררים':4,13,36 'מתכת':16,22,40 'עודף':1,5,33 'עם':14 'עצבנות':9 'פה':11 'פצעי':10 'צ':26 'צמא':12 'קיבה':8",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
16,bible_rag_clinical_cases_20260129,314,clinical_case,astrology,"שעה 1-3 (שעת כבד) - בעיות? שעת כבד (1-3): כעס, כאבי צלעות, גידים קשיחים. מאזן עץ: LV3, GB34. LV3: מרגיע כבד | GB34: מרגיע גידים כוסברה (Coriandrum sativum) - מפזר עץ, לימון - מקרר כבד",שעה 1-3 (שעת כבד) - בעיות?,LV3: מרגיע כבד | GB34: מרגיע גידים,"[""שעה שעת"",""כבד בעיות"",""כבד כעס"",""כאבי צלעות"",""כאבי"",""צלעות גידים"",""שעת"",""שעת כבד"",""בעיות"",""כבד"",""צלעות"",""שעה""]","[""GB34"",""LV3""]",,"'-3':3,10,36 '1':2,9,35 'coriandrum':27 'gb34':19,23,43 'lv3':18,20,40 'sativum':28 'בעיות':6,39 'גידים':14,25,45 'כאבי':12 'כבד':5,8,22,33,38,42 'כוסברה':26 'כעס':11 'לימון':31 'מאזן':16 'מפזר':29 'מקרר':32 'מרגיע':21,24,41,44 'עץ':17,30 'צלעות':13 'קשיחים':15 'שעה':1,34 'שעת':4,7,37",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
17,bible_rag_clinical_cases_20260129,315,clinical_case,astrology,"שעה 7-9 (שעת טחול) - עיכול? שעת טחול (7-9): רעב, נפיחות, עיכול חלש. מחזק אדמה: ST36, SP6. ST36: מחזק טחול | SP6: מזין טחול | REN12: קיבה אורז (Oryza sativa), תפוחי אדמה (Solanum tuberosum)",שעה 7-9 (שעת טחול) - עיכול?,ST36: מחזק טחול | SP6: מזין טחול | REN12: קיבה,"[""חלש"",""שעה שעת"",""עיכול"",""מחזק אדמה"",""שעת טחול"",""נפיחות"",""טחול"",""טחול רעב"",""שעת"",""טחול עיכול"",""שעה""]","[""SP6"",""REN12"",""ST36""]",,"'-9':3,10,36 '7':2,9,35 'oryza':28 'ren12':25,46 'sativa':29 'solanum':32 'sp6':18,22,43 'st36':17,19,40 'tuberosum':33 'אדמה':16,31 'אורז':27 'חלש':14 'טחול':5,8,21,24,38,42,45 'מזין':23,44 'מחזק':15,20,41 'נפיחות':12 'עיכול':6,13,39 'קיבה':26,47 'רעב':11 'שעה':1,34 'שעת':4,7,37 'תפוחי':30",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
18,bible_rag_clinical_cases_20260129,391,clinical_case,breastfeeding,"שד תקוע - כאב חד? שד תקוע (קי ודם סטגנטיים) מטופל בפעילות קי ודם: LV3, SP10, ST18. LV3: מפזר קי | SP10: מפעיל דם | ST18: שד טונג רוי סאן (通乳散) - פותח חלב סתום",שד תקוע - כאב חד?,LV3: מפזר קי | SP10: מפעיל דם | ST18: שד,"[""סטגנטיים"",""תקוע"",""בפעילות קי"",""ודם"",""מטופל בפעילות"",""כאב"",""שד תקוע"",""כאב חד"",""תקוע כאב""]","[""ST18"",""SP10"",""LV3""]",,"'lv3':14,17,36 'sp10':15,20,39 'st18':16,23,42 'בפעילות':11 'דם':22,41 'ודם':8,13 'חד':4,35 'חלב':30 'טונג':25 'כאב':3,34 'מטופל':10 'מפזר':18,37 'מפעיל':21,40 'סאן':27 'סטגנטיים':9 'סתום':31 'פותח':29 'קי':7,12,19,38 'רוי':26 'שד':1,5,24,32,43 'תקוע':2,6,33 '通乳散':28",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
19,bible_rag_clinical_cases_20260129,392,clinical_case,breastfeeding,"פטמות סדוקות וכואבות? פטמות סדוקות (חום/דם סטגנטי מקומי) מטופלות בניקוי, הזנה: ST17, SP6, LI4. ST17: פטמה | SP6: מזין דם | LI4: מפזר סטגנציה שיה ניאנג טאנג (十全汤) - מחזק דם פטמות",פטמות סדוקות וכואבות?,ST17: פטמה | SP6: מזין דם | LI4: מפזר סטגנציה,"[""פטמות"",""סדוקות וכואבות"",""כואב"",""בניקוי הזנה"",""מקומי"",""הזנה"",""וכואבות"",""סדוקות"",""פטמות סדוקות"",""בניקוי""]","[""SP6"",""ST17"",""LI4""]",,"'li4':15,21,39 'sp6':14,18,36 'st17':13,16,34 'בניקוי':11 'דם':7,20,29,38 'הזנה':12 'וכואבות':3,33 'חום':6 'טאנג':26 'מזין':19,37 'מחזק':28 'מטופלות':10 'מפזר':22,40 'מקומי':9 'ניאנג':25 'סדוקות':2,5,32 'סטגנטי':8 'סטגנציה':23,41 'פטמה':17,35 'פטמות':1,4,30,31 'שיה':24 '十全汤':27",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
20,bible_rag_clinical_cases_20260129,393,clinical_case,breastfeeding,"תינוק לא נצמד טוב? תינוק לא נצמד (אמא לחוצה/קי תקוע) מטופלת בהרגעה: PC6, LV3, ST36. PC6: מרגיע אמא | LV3: מפזר לחץ | ST36: מחזק חלב גן מאי דאזהו שיאו (甘麦大枣汤) - מרגיע מתח הנקה",תינוק לא נצמד טוב?,PC6: מרגיע אמא | LV3: מפזר לחץ | ST36: מחזק חלב,"[""אמא לחוצה"",""אמא"",""טוב"",""לחוצה"",""לחוצה קי"",""תקוע"",""נצמד"",""תינוק לא"",""לא נצמד"",""נצמד טוב"",""תינוק""]","[""PC6"",""LV3"",""ST36""]",,"'lv3':15,20,41 'pc6':14,17,38 'st36':16,23,44 'אמא':8,19,40 'בהרגעה':13 'גן':26 'דאזהו':28 'הנקה':33 'חלב':25,46 'טוב':4,37 'לא':2,6,35 'לחוצה':9 'לחץ':22,43 'מאי':27 'מחזק':24,45 'מטופלת':12 'מפזר':21,42 'מרגיע':18,31,39 'מתח':32 'נצמד':3,7,36 'קי':10 'שיאו':29 'תינוק':1,5,34 'תקוע':11 '甘麦大枣汤':30",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
21,bible_rag_clinical_cases_20260129,1650,clinical_case,tcm_supplements,"קולגן - צמח סיני מקביל? קולגן מחזק גידים. GB34, BL23. GB34: גידים | BL23: כליות דו ז'ונג טן",קולגן - צמח סיני מקביל?,GB34: גידים | BL23: כליות,"[""קולגן מחזק"",""צמח סיני"",""גידים"",""סיני"",""יד"",""קולגן צמח"",""צמח"",""מחזק"",""קולגן"",""סיני מקביל"",""מקביל""]","[""GB34"",""BL23""]",,"'bl23':9,12,24 'gb34':8,10,22 'גידים':7,11,23 'דו':14 'ונג':16 'ז':15 'טן':17 'כליות':13,25 'מחזק':6 'מקביל':4,21 'סיני':3,20 'צמח':2,19 'קולגן':1,5,18",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
22,bible_rag_clinical_cases_20260129,436,clinical_case,cardiology,"לחץ דם גבוה - גישה? לחץ דם (כבד יאנג עולה) - LV3, LI11, PC6, GB20. LV3: מוריד יאנג | LI11: חום | PC6: לב | GB20: ראש טיאנג מא ג'ואנג (天麻钩藤饮) - יאנג עולה",לחץ דם גבוה - גישה?,LV3: מוריד יאנג | LI11: חום | PC6: לב | GB20: ראש,"[""יאנג עולה"",""כבד יאנג"",""דם כבד"",""גב"",""גבוה"",""גישה"",""יאנג"",""לחץ דם"",""דם גבוה"",""גבוה גישה"",""לחץ""]","[""PC6"",""LV3"",""GB20"",""LI11""]",,"'gb20':13,21,41 'li11':11,17,37 'lv3':10,14,34 'pc6':12,19,39 'ג':25 'גבוה':3,32 'גישה':4,33 'דם':2,6,31 'ואנג':26 'חום':18,38 'טיאנג':23 'יאנג':8,16,28,36 'כבד':7 'לב':20,40 'לחץ':1,5,30 'מא':24 'מוריד':15,35 'עולה':9,29 'ראש':22,42 '天麻钩藤饮':27",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
23,bible_rag_clinical_cases_20260129,1669,clinical_case,tcm_supplements,"כורכום - למי מתאים? כורכום מנקה חום. LI11, LV3. LI11: חום | LV3: כבד צ'ינג האו",כורכום - למי מתאים?,LI11: חום | LV3: כבד,"[""למי"",""מנקה חום"",""מנקה"",""כורכום"",""חום"",""כורכום מנקה"",""למי מתאים"",""מתאים"",""כורכום למי""]","[""LI11"",""LV3""]",,"'li11':7,9,19 'lv3':8,11,21 'האו':15 'חום':6,10,20 'ינג':14 'כבד':12,22 'כורכום':1,4,16 'למי':2,17 'מנקה':5 'מתאים':3,18 'צ':13",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
24,bible_rag_clinical_cases_20260129,489,clinical_case,eastern,"גוואה שא - לשריר תפוס? גוואה שא מפזר דם סטגנטי, מרגיע שרירים. GB20, trapezius. GB20: צוואר | GB21: כתפיים | LI4: מפזר שמן גוואה שא + צ'ינג האו - נגד דלקת",גוואה שא - לשריר תפוס?,GB20: צוואר | GB21: כתפיים | LI4: מפזר,"[""שרירים"",""לשריר תפוס"",""שא מפזר"",""גוואה"",""שא לשריר"",""דם סטגנטי"",""מפזר"",""לשריר"",""תפוס"",""גוואה שא""]","[""GB21"",""LI4"",""GB20""]",,"'gb20':12,14,32 'gb21':16,34 'li4':18,36 'trapezius':13 'גוואה':1,5,21,28 'דלקת':27 'דם':8 'האו':25 'ינג':24 'כתפיים':17,35 'לשריר':3,30 'מפזר':7,19,37 'מרגיע':10 'נגד':26 'סטגנטי':9 'צ':23 'צוואר':15,33 'שא':2,6,22,29 'שמן':20 'שרירים':11 'תפוס':4,31",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
25,bible_rag_clinical_cases_20260129,490,clinical_case,eastern,"גוואה שא לפנים? גוואה שא פנים מפזר לחות, מרים עור, מרגיע. ST4: פנים | ST6: לסתות | LI20: אף ג'אסמין או ורדים - פנים",גוואה שא לפנים?,ST4: פנים | ST6: לסתות | LI20: אף,"[""לחות מרים"",""גוואה"",""לחות"",""עור"",""מרים עור"",""שא לפנים"",""לפנים"",""גוואה שא""]","[""ST6"",""ST4"",""LI20""]",,"'li20':16,30 'st4':12,26 'st6':14,28 'או':20 'אסמין':19 'אף':17,31 'ג':18 'גוואה':1,4,23 'ורדים':21 'לחות':8 'לסתות':15,29 'לפנים':3,25 'מפזר':7 'מרגיע':11 'מרים':9 'עור':10 'פנים':6,13,22,27 'שא':2,5,24",,2026-01-30 13:04:01.355306+00,2026-01-30 13:04:01.355306+00
