id,question_id,symptom_option,question_text_he,option_text_he,pattern_indication,severity_score,primary_acupoints,secondary_acupoints,meridians_affected,affected_body_parts,organ_systems,symptom_explanation_he,symptom_explanation_en,tcm_mechanism,treatment_principle,created_at,updated_at
11,heat_sensation,all_day_heat,"האם את/ה חווה תחושות של חום (כפות ידיים, כפות רגליים, חזה, פנים)?",כל היום או מתחמם/ת בקלות,yang_excess,4,"[""LI-11"",""LI-4"",""ST-44"",""LR-2"",""GB-20"",""GV-14""]","[""LI-10"",""SP-10"",""BL-40"",""ST-43""]","[""large_intestine_meridian"",""stomach_meridian"",""liver_meridian"",""gallbladder_meridian""]","[""whole_body"",""face"",""head"",""chest""]","[""stomach"",""liver"",""large_intestine""]","חום כל היום - עודף יאנג או חום עודף בקיבה, כבד, או דם",,Excess Heat in Yangming (Stomach/Large Intestine) or Liver Fire/Heat. May involve Blood Heat,"Clear Heat, drain Fire, cool Blood, calm Yang",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
12,heat_sensation,night_sweats,"האם את/ה חווה תחושות של חום (כפות ידיים, כפות רגליים, חזה, פנים)?",הזעות לילה עם חום,yin_def,5,"[""KI-3"",""KI-6"",""KI-7"",""HT-6"",""SP-6"",""LU-7""]","[""HT-7"",""KI-2"",""PC-6"",""LR-3""]","[""kidney_meridian"",""heart_meridian"",""lung_meridian""]","[""chest"",""back"",""whole_body""]","[""kidney"",""heart"",""lung""]","הזעות לילה עם חום - חוסר יין חמור בכליות, לב, או ריאות",,"Severe Yin deficiency of Kidney, Heart, or Lung with steaming bone deficiency Heat","Strongly nourish Yin, clear deficiency Heat, stop sweating",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
13,sweating,spontaneous,איך ההזעה שלך?,הזעה ספונטנית עם מעט מאמץ,qi_def,3,"[""ST-36"",""SP-6"",""LU-9"",""HT-6"",""KI-7""]","[""CV-6"",""BL-20"",""BL-13"",""LI-4""]","[""lung_meridian"",""heart_meridian"",""spleen_meridian""]","[""chest"",""back"",""whole_body""]","[""lung"",""heart"",""spleen""]","הזעה ספונטנית ביום - חוסר צ'י בריאות, הגנה חיצונית חלשה",,Lung Qi and Defensive Qi deficiency. Wei Qi fails to control pores,"Tonify Lung and Spleen Qi, stabilize exterior, stop sweating",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
14,sweating,night,איך ההזעה שלך?,הזעות לילה,yin_def,4,"[""KI-3"",""KI-6"",""HT-6"",""SP-6"",""LU-7""]","[""KI-7"",""HT-7"",""PC-6"",""KI-2""]","[""kidney_meridian"",""heart_meridian"",""spleen_meridian""]","[""chest"",""back"",""whole_body""]","[""kidney"",""heart""]","הזעות לילה - חוסר יין עם חום מחסור, במיוחד בכליות ולב",,Kidney and Heart Yin deficiency with deficiency Heat steaming fluids outward at night,"Nourish Yin, clear deficiency Heat, stop sweating",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
15,sweating,no_sweat_cold,איך ההזעה שלך?,"ללא הזעה, גוף קר",yang_def,3,"[""CV-4"",""CV-6"",""GV-4"",""BL-23"",""ST-36""]","[""KI-3"",""KI-7"",""SP-6"",""BL-20""]","[""conception_vessel"",""governing_vessel"",""kidney_meridian""]","[""whole_body"",""lower_back"",""abdomen""]","[""kidney"",""spleen""]","אין הזעה עם גוף קר - חוסר יאנג חמור, חוסר חום לייצר הזעה",,Severe Yang deficiency. Insufficient Yang Qi to produce sweat and warm body,"Strongly tonify and warm Yang, especially Kidney and Spleen Yang",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
16,thirst,low_thirst,תאר/י את הצמא וצריכת הנוזלים שלך,"מעט צמא, מעדיף/ה משקאות חמים",yang_def,2,"[""ST-36"",""SP-6"",""CV-4"",""BL-20""]","[""CV-6"",""CV-12"",""KI-3"",""BL-23""]","[""spleen_meridian"",""stomach_meridian"",""kidney_meridian""]","[""abdomen"",""digestive_system""]","[""spleen"",""stomach"",""kidney""]",מעט צמא עם העדפה לחם - חוסר יאנג בטחול וקיבה,,"Spleen and Stomach Yang deficiency. Insufficient Yang to transform fluids, prefers warmth",Warm and tonify Spleen and Stomach Yang,2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
17,thirst,high_cold,תאר/י את הצמא וצריכת הנוזלים שלך,"צמא חזק, מעדיף/ה משקאות קרים",yang_excess,3,"[""ST-44"",""ST-43"",""LI-11"",""LI-4"",""SP-6""]","[""ST-36"",""CV-12"",""LR-2"",""KI-6""]","[""stomach_meridian"",""large_intestine_meridian""]","[""mouth"",""throat"",""digestive_system""]","[""stomach"",""large_intestine""]",צמא חזק למשקאות קרים - חום בקיבה או מעיים גדולים,,"Stomach Heat or Large Intestine Heat consuming fluids, creating thirst for cold","Clear Heat from Stomach and Large Intestine, generate fluids",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
18,thirst,dry_mouth_little_drink,תאר/י את הצמא וצריכת הנוזלים שלך,פה יבש אך רק לגימות קטנות,yin_def,4,"[""KI-3"",""KI-6"",""SP-6"",""ST-36"",""LU-7""]","[""KI-2"",""HT-6"",""CV-12"",""ST-44""]","[""kidney_meridian"",""stomach_meridian"",""spleen_meridian""]","[""mouth"",""throat""]","[""kidney"",""stomach"",""lung""]","פה יבש אך שותה מעט - חוסר יין, נוזלים פנימיים מתדלדלים",,Yin deficiency with internal dryness. Body lacks fluids but cannot drink much,"Nourish Yin, generate fluids, moisten dryness",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
19,sleep,difficulty_falling,איך השינה שלך?,"קשה להירדם, מוח עסוק",yang_excess,3,"[""HT-7"",""PC-6"",""SP-6"",""AN-MIAN"",""YIN-TANG""]","[""LR-3"",""GB-20"",""DU-20"",""KI-6""]","[""heart_meridian"",""pericardium_meridian"",""liver_meridian""]","[""head"",""chest"",""mind""]","[""heart"",""liver""]","קשה להירדם, מחשבות רבות - כבד או לב לא רגועים, יאנג לא יורד",,"Heart and Liver Yang excess or Liver Qi stagnation. Yang fails to descend, Shen is restless","Calm Heart and Liver, settle Yang, quiet Shen, promote downward flow",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
20,sleep,waking_night,איך השינה שלך?,"מתעורר/ת לעתים קרובות, חום, הזעות לילה",yin_def,4,"[""KI-3"",""KI-6"",""HT-6"",""HT-7"",""SP-6""]","[""KI-2"",""PC-6"",""LU-7"",""AN-MIAN""]","[""kidney_meridian"",""heart_meridian""]","[""chest"",""whole_body""]","[""kidney"",""heart""]","התעוררות בלילה עם חום - חוסר יין בלב וכליות, חום מחסור",,Heart and Kidney Yin deficiency. Deficiency Heat disturbs Shen at night,"Nourish Heart and Kidney Yin, clear deficiency Heat, calm Shen",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
21,sleep,excessive_sleep,איך השינה שלך?,"צריך/ה הרבה שינה, עדיין עייף/ה",yang_def,3,"[""ST-36"",""SP-6"",""CV-6"",""BL-20"",""BL-23"",""GV-4""]","[""CV-4"",""KI-3"",""CV-12"",""GV-20""]","[""spleen_meridian"",""stomach_meridian"",""kidney_meridian""]","[""whole_body"",""abdomen"",""back""]","[""spleen"",""kidney""]","צורך בהרבה שינה אך עייף - חוסר יאנג בטחול וכליות, אנרגיה נמוכה",,Spleen and Kidney Yang deficiency. Insufficient Yang Qi to maintain wakefulness and vitality,"Tonify and warm Spleen and Kidney Yang, raise Qi",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
22,stool,loose_cold,איך תנועות המעיים שלך?,"רופפות, במיוחד עם קור או בבוקר",yang_def,4,"[""ST-36"",""SP-6"",""ST-25"",""CV-6"",""BL-20"",""BL-25""]","[""CV-4"",""CV-12"",""BL-23"",""GV-4""]","[""spleen_meridian"",""stomach_meridian"",""conception_vessel""]","[""abdomen"",""intestines"",""lower_back""]","[""spleen"",""kidney"",""large_intestine""]",צואה רופפה בבוקר או עם קור - חוסר יאנג בטחול וכליות,,Spleen and Kidney Yang deficiency. Morning diarrhea (cock crow diarrhea) is classic Kidney Yang deficiency,"Warm and tonify Spleen and Kidney Yang, firm intestines",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
23,stool,dry_constipation,איך תנועות המעיים שלך?,"צואה יבשה, קשה או עצירות",yin_def,3,"[""ST-36"",""ST-25"",""ST-37"",""SP-6"",""KI-6"",""SJ-6""]","[""ST-44"",""LR-3"",""CV-12"",""BL-25""]","[""stomach_meridian"",""large_intestine_meridian"",""kidney_meridian""]","[""abdomen"",""intestines""]","[""large_intestine"",""kidney"",""stomach""]","עצירות עם צואה יבשה - חוסר יין או נוזלים במעיים, אולי חום",,Yin and fluid deficiency or Heat drying the Large Intestine. Kidney Yin fails to moisten,"Nourish Yin, moisten intestines, clear Heat if present",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
24,urine,frequent_clear,איך ההטלה שלך?,"תכופה, בהירה, במיוחד בלילה",yang_def,4,"[""CV-4"",""CV-3"",""KI-3"",""KI-7"",""BL-23"",""BL-28""]","[""SP-6"",""SP-9"",""CV-6"",""GV-4""]","[""kidney_meridian"",""bladder_meridian"",""conception_vessel""]","[""bladder"",""lower_abdomen"",""lower_back""]","[""kidney"",""bladder""]","השתנה תכופה ובהירה בלילה - חוסר יאנג בכליות, כליות לא מחזיקות שתן",,Kidney Yang deficiency fails to consolidate urine. Bladder loses control,"Warm and tonify Kidney Yang, consolidate Bladder, reduce urination",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
25,urine,dark_scanty,איך ההטלה שלך?,"כהה, מועטה",yin_def,3,"[""KI-3"",""KI-6"",""SP-6"",""SP-9"",""CV-3"",""BL-28""]","[""KI-2"",""ST-36"",""CV-4"",""LR-8""]","[""kidney_meridian"",""bladder_meridian"",""spleen_meridian""]","[""bladder"",""lower_abdomen""]","[""kidney"",""bladder""]","שתן כהה ומועט - חוסר יין או נוזלים, אולי חום בשלפוחית השתן",,Yin and fluid deficiency or Heat in Bladder consuming fluids. Dark color indicates concentration or Heat,"Nourish Yin, clear Heat from Bladder, promote urination, generate fluids",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
26,body_build,thin_dry,איך היית מתאר/ת את מבנה הגוף והתחושה שלך?,"רזה, יבש, נטייה ליובש",yin_def,4,"[""KI-3"",""SP-6"",""ST-36"",""LU-7"",""KI-6""]","[""CV-12"",""BL-20"",""BL-23"",""SP-10""]","[""kidney_meridian"",""spleen_meridian"",""stomach_meridian""]","[""whole_body"",""skin"",""muscles""]","[""kidney"",""spleen"",""stomach"",""lung""]","גוף רזה ויבש - חוסר יין, נוזלי גוף ודם, לא מספיק הזנה",,"Yin, Blood, and fluid deficiency. Insufficient nourishment to muscles and tissues","Nourish Yin, tonify Blood, strengthen Spleen and Stomach to generate Qi and Blood",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
27,body_build,puffy_cold,איך היית מתאר/ת את מבנה הגוף והתחושה שלך?,"נפוח, מרגיש/ה קר, כבד",yang_def,4,"[""CV-4"",""CV-6"",""SP-6"",""SP-9"",""ST-36"",""BL-20"",""BL-23""]","[""CV-9"",""ST-28"",""KI-3"",""GV-4""]","[""spleen_meridian"",""kidney_meridian"",""stomach_meridian""]","[""abdomen"",""legs"",""whole_body""]","[""spleen"",""kidney""]","נפיחות עם קור - חוסר יאנג בטחול וכליות, מים מצטברים",,Spleen and Kidney Yang deficiency with water accumulation. Damp and phlegm retention,"Warm and tonify Spleen and Kidney Yang, resolve Damp, transform phlegm",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
28,body_build,robust_red_face,איך היית מתאר/ת את מבנה הגוף והתחושה שלך?,חסון עם נטייה לפנים אדומות או קול חזק,yang_excess,3,"[""LI-11"",""LI-4"",""ST-44"",""LR-3"",""LR-2"",""GB-20""]","[""GV-14"",""LI-10"",""SP-10"",""ST-36""]","[""large_intestine_meridian"",""stomach_meridian"",""liver_meridian""]","[""face"",""head"",""upper_body""]","[""stomach"",""liver"",""large_intestine""]",מבנה חזק עם פנים אדומות - עודף יאנג או חום בקיבה וכבד,,Yang excess or Heat in Yangming and Liver. Robust constitution with excess Heat rising,"Clear Heat, drain excess, calm Liver Yang, cool Blood",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
29,pain,cold_pain_better_warm,"כאבים קבועים כלשהם (מפרקים, גב, גפיים)?","כאב קר, טוב יותר עם חום/לחץ",yang_def,3,"[""ST-36"",""SP-6"",""BL-23"",""GV-4"",""CV-4"",""CV-6""]","[""BL-20"",""KI-3"",""GB-34"",""local_ah_shi""]","[""kidney_meridian"",""bladder_meridian"",""governing_vessel""]","[""back"",""joints"",""knees"",""lower_back""]","[""kidney"",""spleen""]","כאב קר המשתפר עם חום - חוסר יאנג, קור חוסם מרידיאנים",,Yang deficiency with Cold obstruction. Cold contracts and blocks meridians causing pain,"Warm Yang, expel Cold, unblock meridians, promote Qi and Blood flow",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
30,pain,burning_pain,"כאבים קבועים כלשהם (מפרקים, גב, גפיים)?",תחושת שריפה או כאב חום,yang_excess,3,"[""LI-11"",""LI-4"",""SP-10"",""BL-40"",""LR-2"",""GB-34""]","[""ST-44"",""LR-3"",""SP-6"",""local_ah_shi""]","[""large_intestine_meridian"",""liver_meridian"",""gallbladder_meridian""]","[""joints"",""muscles"",""affected_area""]","[""liver"",""blood""]","כאב שורף - חום בדם או מרידיאנים, אולי יין לא מספיק",,Heat in Blood or meridians. May be from Yin deficiency causing deficiency Heat or true excess Heat,"Clear Heat, cool Blood, nourish Yin if deficiency pattern",2026-01-20 04:10:34.096133,2026-01-20 04:10:34.096133
