id,pulse_type_id,pulse_name_he,pulse_name_en,pulse_name_cn,pinyin,category,depth,speed,strength,characteristics,indicates_pattern,organs_affected,clinical_significance,severity,example_combinations,created_at,asset_type,search_keywords_hebrew,embedding
69,scattered,מפוזר,Scattered,San,Sàn,deficiency,אמצעי,רגיל,חלש,חסר צורה,"[""מחלה קשה""]",,דופק מפוזר. קריסת Qi,,טיפול: ייצוב Qi; לשון: חיוורת מאוד; דופקים קשורים: Weak,2026-01-28 16:17:36.005265,pulse,"[""מפוזר"",""Scattered"",""Sàn"",""חוסר"",""מחלה קשה""]",
70,hidden,נעלם,Hidden,Wei,Wēi,deficiency,עמוק,רגיל,חלש,בקושי מורגש,"[""מצב קריטי""]",,דופק נעלם. חוסר חמור,,טיפול: החייאה; לשון: חיוורת מאוד; דופקים קשורים: Weak,2026-01-28 16:17:36.005265,pulse,"[""נעלם"",""Hidden"",""Wēi"",""חוסר"",""מצב קריטי""]",
71,short,קצר,Short,Duan,Duǎn,deficiency,אמצעי,רגיל,חלש,לא מורגש בכל הרמות,"[""חוסר מקומי""]",,דופק קצר. חוסר Qi,,טיפול: חיזוק Qi; לשון: משתנה; דופקים קשורים: Weak,2026-01-28 16:17:36.005265,pulse,"[""קצר"",""Short"",""Duǎn"",""חוסר"",""חוסר מקומי""]",
72,long,ארוך,Long,Chang,Cháng,excess,אמצעי,רגיל,חזק,נמשך מעבר לרגיל,"[""אש בכבד""]",,דופק ארוך. עודף יאנג,,טיפול: צינון אש; לשון: אדומה; דופקים קשורים: Full,2026-01-28 16:17:36.005265,pulse,"[""ארוך"",""Long"",""Cháng"",""עודף"",""אש בכבד""]",
73,soft,רך,Soft,Ru,Rú,damp,אמצעי,רגיל,חלש,רך למגע,"[""לחות בטחול""]",,דופק רך. לחות עם חוסר,,טיפול: פירוק לחות; לשון: נפוחה; דופקים קשורים: Weak,2026-01-28 16:17:36.005265,pulse,"[""רך"",""Soft"",""Rú"",""לחות"",""לחות בטחול""]",
74,moderate,מתון,Moderate,Huan,Huǎn,deficiency,אמצעי,איטי,חלש,איטי מעט,"[""חולשת טחול""]",,דופק מתון. לחות בטחול,,טיפול: חיזוק טחול; לשון: חיוורת; דופקים קשורים: Soft,2026-01-28 16:17:36.005265,pulse,"[""מתון"",""Moderate"",""Huǎn"",""חוסר"",""חולשת טחול""]",
75,soggy,שטף,Soggy,Ru,Rú,damp,שטחי,רגיל,חלש,צף בשטח,"[""הזעה ספונטנית""]",,דופק צף ורך. לחות חיצונית,,טיפול: פירוק לחות; לשון: נפוחה; דופקים קשורים: Soft,2026-01-28 16:17:36.005265,pulse,"[""שטף"",""Soggy"",""Rú"",""לחות"",""הזעה ספונטנית""]",
76,leather,עור,Leather,Ge,Gé,excess,שטחי,רגיל,חזק,"חזק בשטח, ריק במרכז","[""אובדן דם""]",,דופק כעור תוף. דימום,,טיפול: עצירת דימום; לשון: חיוורת; דופקים קשורים: Empty,2026-01-28 16:17:36.005265,pulse,"[""עור"",""Leather"",""Gé"",""עודף"",""אובדן דם""]",
77,hollow,חלול,Hollow,Kong,Kōng,deficiency,שטחי,רגיל,חלש,רחב אך חלול,"[""אחרי דימום""]",,דופק חלול. אובדן דם,,טיפול: בניית דם; לשון: יבשה; דופקים קשורים: Leather,2026-01-28 16:17:36.005265,pulse,"[""חלול"",""Hollow"",""Kōng"",""חוסר"",""אחרי דימום""]",
78,firm,מוצק,Firm,Lao,Láo,excess,עמוק,רגיל,חזק,עמוק ומתוח,"[""מסה בבטן""]",,דופק עמוק וחזק. סטגנציה עמוקה,,טיפול: פירוק סטגנציה; לשון: חיפוי עבה; דופקים קשורים: Deep,2026-01-28 16:17:36.005265,pulse,"[""מוצק"",""Firm"",""Láo"",""עודף"",""מסה בבטן""]",
79,confined,כלוא,Confined,Lao,Láo,excess,אמצעי,רגיל,חזק,חזק במיקום ספציפי,"[""כאב מקומי""]",,דופק תקוע. סטגנציה מקומית,,טיפול: הזזת סטגנציה; לשון: סגולה; דופקים קשורים: Wiry,2026-01-28 16:17:36.005265,pulse,"[""כלוא"",""Confined"",""Láo"",""עודף"",""כאב מקומי""]",
80,moving,נד,Moving,Dong,Dòng,excess,אמצעי,רגיל,חזק,מתנועע,"[""כאב חד""]",,"דופק קופץ. כאב, פחד",,טיפול: הרגעה; לשון: אדומה או חיוורת; דופקים קשורים: Rapid,2026-01-28 16:17:36.005265,pulse,"[""נד"",""Moving"",""Dòng"",""עודף"",""כאב חד""]",
81,hasty,דוהר,Hasty,Cu,Cù,heat,אמצעי,מהיר,חזק,מהיר עם דילוגים,"[""חרדה חמורה""]",,דופק מהיר עם דילוגים. אש בלב,,טיפול: צינון חום; לשון: אדומה; דופקים קשורים: Rapid,2026-01-28 16:17:36.005265,pulse,"[""דוהר"",""Hasty"",""Cù"",""חום"",""חרדה חמורה""]",
82,knotted,קשור,Knotted,Jie,Jié,stagnation,אמצעי,איטי,בינוני,איטי עם דילוגים,"[""סטגנציה""]",,דופק איטי עם דילוגים. סטגנציה עם קור,,טיפול: חימום; לשון: חיוורת; דופקים קשורים: Slow,2026-01-28 16:17:36.005265,pulse,"[""קשור"",""Knotted"",""Jié"",""סטגנציה"",""סטגנציה""]",
83,intermittent,מופסק,Intermittent,Dai,Dài,deficiency,אמצעי,לא סדיר,חלש,הפסקות סדירות,"[""מחלת לב""]",,דופק עם הפסקות. בעיות לב,,טיפול: חיזוק לב; לשון: חיוורת; דופקים קשורים: Weak,2026-01-28 16:17:36.005265,pulse,"[""מופסק"",""Intermittent"",""Dài"",""חוסר"",""מחלת לב""]",
84,frail,שברירי,Frail,Ruan,Ruǎn,deficiency,אמצעי,רגיל,חלש,חלש מאוד,"[""תשישות קיצונית""]",,דופק שברירי. חוסר חמור,,טיפול: תמיכה עמוקה; לשון: חיוורת מאוד; דופקים קשורים: Weak,2026-01-28 16:17:36.005265,pulse,"[""שברירי"",""Frail"",""Ruǎn"",""חוסר"",""תשישות קיצונית""]",
