id,category,number,name_hebrew,name_english,pinyin,clinical_description,acupuncture_points,treatment_principle,question_hebrew,question_english,body_system,difficulty_level,clinical_priority,created_at
P016,Pulse Diagnosis,16,דופק חלוש,Weak Pulse,Ruo Mai,"Deep and weak, Qi-Blood deficiency","CV4, CV6, ST36, SP6, BL20, BL23",Tonify Qi and Blood deeply,?מהו דופק חלוש ומה המשמעות הקלינית שלו,What is Weak Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P017,Pulse Diagnosis,17,דופק מפוזר,Scattered Pulse,San Mai,"Irregular and unfocused, Qi collapse","CV4, CV6, CV8 + heavy moxa",Emergency rescue Qi,?מהו דופק מפוזר ומה המשמעות הקלינית שלו,What is Scattered Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P018,Pulse Diagnosis,18,דופק מפסיק,Intermittent Pulse,Dai Mai,"Regular rhythm with stops, Heart deficiency","HT7, PC6, CV17, BL15","Calm Heart, tonify",?מהו דופק מפסיק ומה המשמעות הקלינית שלו,What is Intermittent Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P019,Pulse Diagnosis,19,דופק נמהר,Hasty Pulse,Cu Mai,"Rapid with irregular stops, excess heat","HT8, PC8, HT7, LI11",Clear Heart fire,?מהו דופק נמהר ומה המשמעות הקלינית שלו,What is Hasty Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P020,Pulse Diagnosis,20,דופק קשור,Knotted Pulse,Jie Mai,"Slow with irregular stops, Cold or stasis","CV4, CV6, SP6 + moxa, LV3","Warm Yang, move Blood",?מהו דופק קשור ומה המשמעות הקלינית שלו,What is Knotted Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P021,Pulse Diagnosis,21,דופק עורי,Leather Pulse,Ge Mai,"Hollow and hard, blood loss","SP1, BL17, ST36, SP6","Stop bleeding, build Blood",?מהו דופק עורי ומה המשמעות הקלינית שלו,What is Leather Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P022,Pulse Diagnosis,22,דופק איתן,Firm Pulse,Lao Mai,"Deep, wiry, long; interior cold-stasis","CV4, CV6, SP6, SP10 + moxa","Warm, move Blood",?מהו דופק איתן ומה המשמעות הקלינית שלו,What is Firm Pulse and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
P023,Pulse Diagnosis,23,דופק שעועית,Spinning Bean,Dong Mai,"Short, slippery, rapid; pain/fright","HT7, PC6, CV17, SP6","Calm Spirit, stop pain",?מהו דופק שעועית ומה המשמעות הקלינית שלו,What is Spinning Bean and what is its clinical significance?,Cardiovascular/Qi-Blood,Intermediate,High,2026-01-25 04:43:39.745104
T001,Tongue Diagnosis,1,לשון חיוורת,Pale Tongue,-,"Blood/Qi deficiency, Cold","SP6, ST36, BL20, BL17, CV4",Tonify Blood and Qi,?מה מעידה לשון חיוורת על מצב המטופל,What does Pale Tongue indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T002,Tongue Diagnosis,2,לשון אדומה,Red Tongue,-,"Heat, Yin deficiency","KI6, SP6, LI11, HT8","Clear heat, nourish Yin",?מה מעידה לשון אדומה על מצב המטופל,What does Red Tongue indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T003,Tongue Diagnosis,3,לשון אדומה כהה,Dark Red Tongue,-,"Extreme heat, severe Yin deficiency","KI3, KI6, LI11, DU14, HT7","Strongly clear heat, rescue Yin",?מה מעידה לשון אדומה כהה על מצב המטופל,What does Dark Red Tongue indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T004,Tongue Diagnosis,4,לשון סגולה,Purple Tongue,-,"Blood stasis, Cold stagnation","SP10, LV3, SP6, BL17","Move Blood, break stasis",?מה מעידה לשון סגולה על מצב המטופל,What does Purple Tongue indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T005,Tongue Diagnosis,5,לשון כחולה,Blue Tongue,-,"Severe Cold, blood stagnation","CV4, CV6, SP6 + heavy moxa",Emergency warm Yang,?מה מעידה לשון כחולה על מצב המטופל,What does Blue Tongue indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T006,Tongue Diagnosis,6,ציפוי לבן דק,Thin White Coating,-,Normal or slight exterior Cold,"LI4, LU7, if pathogen present",Release exterior if needed,?מה מעידה ציפוי לבן דק על מצב המטופל,What does Thin White Coating indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T007,Tongue Diagnosis,7,ציפוי לבן עבה,Thick White Coating,-,"Cold-Dampness, Phlegm","CV12, ST40, SP9, SP6",Transform Phlegm-Damp,?מה מעידה ציפוי לבן עבה על מצב המטופל,What does Thick White Coating indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T008,Tongue Diagnosis,8,ציפוי צהוב,Yellow Coating,-,"Heat, Damp-Heat","LI11, ST44, SP9, LV2","Clear heat, dry Dampness",?מה מעידה ציפוי צהוב על מצב המטופל,What does Yellow Coating indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T009,Tongue Diagnosis,9,ציפוי אפור/שחור,Grey/Black Coating,-,Extreme heat or extreme cold,Varies - check pulse and symptoms,Emergency treatment,?מה מעידה ציפוי אפור/שחור על מצב המטופל,What does Grey/Black Coating indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T010,Tongue Diagnosis,10,ללא ציפוי,No Coating,-,Stomach/Kidney Yin deficiency,"ST36, KI3, KI6, SP6","Nourish Yin, generate fluids",?מה מעידה ללא ציפוי על מצב המטופל,What does No Coating indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T011,Tongue Diagnosis,11,לשון נפוחה,Swollen Tongue,-,"Spleen deficiency, Dampness","SP9, SP6, ST36, CV12","Strengthen Spleen, drain Damp",?מה מעידה לשון נפוחה על מצב המטופל,What does Swollen Tongue indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T012,Tongue Diagnosis,12,לשון דקה,Thin Tongue,-,Blood/Yin deficiency,"SP6, ST36, BL17, BL20, KI3",Tonify Blood and Yin,?מה מעידה לשון דקה על מצב המטופל,What does Thin Tongue indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T013,Tongue Diagnosis,13,לשון נוקשה,Stiff Tongue,-,"Wind-stroke, heat in Heart","DU20, GB20, HT7, PC6, LV3","Extinguish Wind, open orifices",?מה מעידה לשון נוקשה על מצב המטופל,What does Stiff Tongue indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T014,Tongue Diagnosis,14,לשון רועדת,Trembling Tongue,-,"Spleen Qi deficiency, Wind","CV12, ST36, SP6, DU20","Tonify Spleen, calm Wind",?מה מעידה לשון רועדת על מצב המטופל,What does Trembling Tongue indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T015,Tongue Diagnosis,15,לשון סדוקה,Cracked Tongue,-,"Yin deficiency, heat injury","KI3, KI6, SP6, LU5","Nourish Yin, generate fluids",?מה מעידה לשון סדוקה על מצב המטופל,What does Cracked Tongue indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T016,Tongue Diagnosis,16,קצה אדום,Red Tip,-,Heart fire,"HT8, HT7, PC8, PC7",Clear Heart fire,?מה מעידה קצה אדום על מצב המטופל,What does Red Tip indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T017,Tongue Diagnosis,17,צדדים אדומים,Red Sides,-,Liver fire/heat,"LV2, LV3, GB34, GB43",Clear Liver fire,?מה מעידה צדדים אדומים על מצב המטופל,What does Red Sides indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T018,Tongue Diagnosis,18,לשון גיאוגרפית,Geographic Tongue,-,Stomach/Spleen Yin deficiency,"ST36, SP6, CV12, KI3",Nourish Stomach Yin,?מה מעידה לשון גיאוגרפית על מצב המטופל,What does Geographic Tongue indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T019,Tongue Diagnosis,19,סימני שיניים,Teeth Marks,-,"Spleen Qi deficiency, Dampness","SP9, SP6, ST36, CV12","Tonify Spleen, drain Damp",?מה מעידה סימני שיניים על מצב המטופל,What does Teeth Marks indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
T020,Tongue Diagnosis,20,ורידים תת-לשוניים,Sublingual Veins,-,Blood stasis (if dark/distended),"SP10, LV3, BL17, SP6","Move Blood, break stasis",?מה מעידה ורידים תת-לשוניים על מצב המטופל,What does Sublingual Veins indicate about the patient's condition?,Digestive/Organ systems,Intermediate,High,2026-01-25 04:43:39.745104
