id,point_number,warning_level,explanation,point_number_hebrew,created_at
36,GV14 (Dazhui),🔴 RED - SPINAL CORD CAUTION,C7-T1 vertebral level. Spinal cord beneath. Oblique angle safer than perpendicular. Maximum 0.5-1.0 cun. Risk of spinal cord injury and epidural hematoma with deep needling.,GV14 (Dazhui),2026-01-24 13:03:46.192
37,BL1 (Jingming),🔴 RED - ORBITAL/EYE DANGER,"Inner canthus near lacrimal system and orbit. SLOW INSERTION, NO MANIPULATION. Risk of orbital hemorrhage, eye damage, infection. Patient must keep eyes closed. Requires expert technique. Maximum 0.5-1.0 cun.",BL1 (Jingming),2026-01-24 13:03:46.192
38,ST1 (Chengqi),🔴 RED - ORBITAL/EYE DANGER,"Infraorbital point directly below pupil. SLOW INSERTION, NO MANIPULATION. Risk of orbital hemorrhage, globe perforation, blindness. Maximum 0.3-0.5 cun. Contraindicated in glaucoma.",ST1 (Chengqi),2026-01-24 13:03:46.192
39,ST2 (Sibai),🔴 RED - INFRAORBITAL CAUTION,Infraorbital foramen area. Risk of nerve damage and orbital injury with deep needling. NO DEEP NEEDLING. Maximum 0.3 cun perpendicular.,ST2 (Sibai),2026-01-24 13:03:46.192
40,CV2 (Qugu),🟡 YELLOW - PREGNANCY CAUTION,Above pubic bone. No deep needling in pregnancy - risk of bladder puncture and uterine stimulation. No perpendicular needling in advanced pregnancy. Safe shallow oblique.,CV2 (Qugu),2026-01-24 13:03:46.192
41,CV9-15 (Shuifen to Jiuwei),🟡 YELLOW - PREGNANCY PERPENDICULAR CAUTION,Abdomen midline points. No perpendicular needling in pregnancy due to enlarged uterus and organs. Oblique or transverse safer. Risk of organ puncture with deep needling.,CV9-15 (Shuifen to Jiuwei),2026-01-24 13:03:46.192
42,GV4 (Mingmen),🟡 YELLOW - AGE CAUTION,Life gate fire point. NO MOXA in males under 20 years - can over-stimulate Yang and affect development. Needling generally safe. Also caution with excessive moxa in hypertension.,GV4 (Mingmen),2026-01-24 13:03:46.192
43,"GV22-23 (Xinhui, Shangxing)",🟡 YELLOW - INFANT FONTANEL,Fontanel area. NO NEEDLING in infants with open fontanel (metopism) - risk of brain injury. Safe after fontanel closure. Transverse needling safer than perpendicular.,"GV22-23 (Xinhui, Shangxing)",2026-01-24 13:03:46.192
44,KD21 (Youmen),🟡 YELLOW - LIVER AVOIDANCE,Upper abdomen point. AVOID LIVER on right side - needle on left or very superficial on right. Risk of liver puncture with deep right-sided needling.,KD21 (Youmen),2026-01-24 13:03:46.192
45,GB3 (Shangguan),🟡 YELLOW - TEMPORAL ARTERY,Temporal region. Avoid temporal artery. Superficial needling only. Risk of temporal arteritis symptoms if improper technique.,GB3 (Shangguan),2026-01-24 13:03:46.192
46,TH19 (Luxi),🟡 YELLOW - NO BLOODLETTING,Behind ear near mastoid. NO BLOODLETTING technique. Risk of excessive bleeding and infection. Shallow insertion only.,TH19 (Luxi),2026-01-24 13:03:46.192
47,"TH22-23 (Erheliao, Sizhukong)",🟡 YELLOW - TEMPORAL CAUTION,Temporal/periorbital region. Avoid temporal artery and branches. Superficial needling only. Risk of headache and bleeding.,"TH22-23 (Erheliao, Sizhukong)",2026-01-24 13:03:46.192
48,BL2 (Zanzhu),🟡 YELLOW - SUPRAORBITAL NOTCH,Medial eyebrow near supraorbital notch. Risk of bleeding and nerve irritation. Oblique along bone safer. No deep or perpendicular needling.,BL2 (Zanzhu),2026-01-24 13:03:46.192
49,GB1 (Tongziliao),🟡 YELLOW - LATERAL ORBIT,Lateral canthus/orbit. Superficial needling only. NO MOXA due to proximity to eye. Risk of orbital injury with deep needling.,GB1 (Tongziliao),2026-01-24 13:03:46.192
50,UB3-8 (Eyebrow and vertex points),🟡 YELLOW - NO MOXA,Forehead and vertex points. NO MOXA - risk of burns and scarring on exposed areas. Needling safe with proper technique.,UB3-8 (Eyebrow and vertex points),2026-01-24 13:03:46.192
51,LI13 (Shouwuli),🟡 YELLOW - BRACHIAL VESSELS,Upper arm near brachial artery. AVOID ARTERY and nerves. Risk of hematoma and nerve damage. Palpate pulse and avoid.,LI13 (Shouwuli),2026-01-24 13:03:46.192
52,BL40 (Weizhong),🟡 YELLOW - POPLITEAL CAUTION,Popliteal crease center. Avoid popliteal artery/vein. NO MOXA (even pole/stick moxa). Risk of deep vein thrombosis mobilization in some patients. Caution in anticoagulation.,BL40 (Weizhong),2026-01-24 13:03:46.192
53,BL30 (Baihuanshu),🟡 YELLOW - SACRAL CAUTION,Sacral region. NO MOXA. Risk of burns and discomfort. Needling requires awareness of sacral anatomy to avoid foramen.,BL30 (Baihuanshu),2026-01-24 13:03:46.192
54,GV6 (Jizhong),🟡 YELLOW - NO MOXA,T11 level spine. NO MOXA - traditional contraindication due to spleen/digestive effects. Needling safe with proper technique and depth.,GV6 (Jizhong),2026-01-24 13:03:46.192
55,LU3 (Tianfu),🟡 YELLOW - NO MOXA,Upper arm medial. NO MOXA. Needling safe. Avoid brachial vessels nearby.,LU3 (Tianfu),2026-01-24 13:03:46.192
56,LU5 (Chize),🟡 YELLOW - ELBOW CAUTION,Cubital crease. NO MOXA. Avoid brachial artery and median nerve. Risk of nerve damage and hematoma.,LU5 (Chize),2026-01-24 13:03:46.192
57,LU11 (Shaoshang),🟡 YELLOW - BLOODLETTING POINT,Thumb Jing-Well point. NO MOXA. Used for bloodletting (pricking). Caution in anticoagulation and bleeding disorders.,LU11 (Shaoshang),2026-01-24 13:03:46.192
58,SI18 (Quanliao),🟡 YELLOW - FACIAL NERVE,Zygomatic region. NO MOXA. Risk of facial nerve irritation and cosmetic bruising. Superficial perpendicular or oblique.,SI18 (Quanliao),2026-01-24 13:03:46.192
59,ST8 (Touwei),🟡 YELLOW - TEMPORAL VESSELS,Hairline corner. NO MOXA. Avoid superficial temporal vessels. Transverse needling safer than perpendicular.,ST8 (Touwei),2026-01-24 13:03:46.192
60,"LI19-20 (Heliao, Yingxiang)",🟡 YELLOW - FACIAL CAUTION,Nose area. NO MOXA. Risk of cosmetic bruising and facial swelling. Perpendicular or oblique toward nose.,"LI19-20 (Heliao, Yingxiang)",2026-01-24 13:03:46.192
61,GV25-28 (Suliao to Yinjiao),🟡 YELLOW - FACIAL/ORAL CAUTION,Nose and mouth area. NO MOXA. GV28 in upper gum requires careful technique. Risk of bleeding and discomfort.,GV25-28 (Suliao to Yinjiao),2026-01-24 13:03:46.192
62,GB33 (Xiyangguan),🟡 YELLOW - NO MOXA,Lateral knee. NO MOXA. Needling safe. Avoid excessive depth near joint space.,GB33 (Xiyangguan),2026-01-24 13:03:46.192
63,GB42 (Diwuhui),🟡 YELLOW - NO MOXA,Dorsal foot. NO MOXA. Needling safe. Avoid extensor tendons.,GB42 (Diwuhui),2026-01-24 13:03:46.192
64,GB9 (Tianchong),🟡 YELLOW - NO MOXA,Temporal head region. NO MOXA. Transverse needling safe along scalp.,GB9 (Tianchong),2026-01-24 13:03:46.192
65,LI4 (Hegu),🟡 YELLOW - NO MOXA (traditionally),Web of thumb. NO MOXA traditionally (modern practice varies). Safe needling except pregnancy. Contraindicated pregnancy before 37 weeks.,LI4 (Hegu),2026-01-24 13:03:46.192
66,UB67 (Zhiyin),🟡 YELLOW - MOXA FOR BREECH ONLY,Toe Jing-Well point. Moxa specifically used to turn breech presentation at 34-36 weeks. Otherwise caution in early pregnancy. Can induce contractions.,UB67 (Zhiyin),2026-01-24 13:03:46.192
67,ALL POINTS,🟡 YELLOW - ANTICOAGULATION CAUTION,"Patients on warfarin, heparin, DOACs, antiplatelets: increased bleeding/hematoma risk. Avoid deep needling, arterial points, and bloodletting. Apply pressure after needle removal.",ALL POINTS,2026-01-24 13:03:46.192
68,ALL POINTS,🟡 YELLOW - BLEEDING DISORDERS,"Hemophilia, thrombocytopenia, liver disease with coagulopathy: high bleeding risk. Avoid acupuncture or use minimal needling with expert supervision. No bloodletting techniques.",ALL POINTS,2026-01-24 13:03:46.192
69,ALL POINTS,🟡 YELLOW - SKIN INFECTIONS/INFLAMMATION,"Avoid needling through infected, inflamed, or broken skin - risk of spreading infection and cellulitis. Avoid active psoriasis, eczema, wounds, burns, and abscesses.",ALL POINTS,2026-01-24 13:03:46.192
70,ALL POINTS,🟡 YELLOW - LYMPHEDEMA AREAS,"Avoid needling in limbs with lymphedema - risk of infection, worsening edema, and poor healing. Particularly post-mastectomy lymphedema.",ALL POINTS,2026-01-24 13:03:46.192
71,ALL POINTS,🟡 YELLOW - TUMOR/CANCER SITES,Avoid needling directly into known tumor masses - theoretical risk of tumor cell mobilization. Needling elsewhere generally safe with oncologist coordination.,ALL POINTS,2026-01-24 13:03:46.192
72,ALL POINTS,🟡 YELLOW - PACEMAKER/ICD,NO ELECTROACUPUNCTURE near pacemaker or implantable cardioverter-defibrillator - risk of device malfunction. Manual acupuncture generally safe away from device.,ALL POINTS,2026-01-24 13:03:46.192
73,CHEST POINTS,🟡 YELLOW - COPD/EMPHYSEMA CAUTION,Patients with chronic lung disease at higher risk of pneumothorax. Extreme caution with chest needling - consider avoiding or use very superficial oblique technique only.,CHEST POINTS,2026-01-24 13:03:46.192
74,LOWER BACK POINTS,🟡 YELLOW - ABDOMINAL AORTIC ANEURYSM,Avoid deep needling in lower back/abdomen with known AAA - risk of rupture. Superficial needling only with extreme caution.,LOWER BACK POINTS,2026-01-24 13:03:46.192
75,ALL POINTS,🟡 YELLOW - SEVERE OSTEOPOROSIS,Caution with spinal points in severe osteoporosis - risk of vertebral fracture with manipulation. Gentle technique essential.,ALL POINTS,2026-01-24 13:03:46.192
76,BACK/BUTTOCK POINTS,🟡 YELLOW - PREVIOUS PNEUMOTHORAX,Patients with history of spontaneous pneumothorax at increased risk of recurrence. Avoid or extreme caution with chest and back needling.,BACK/BUTTOCK POINTS,2026-01-24 13:03:46.192
77,ALL POINTS,🟡 YELLOW - DIABETES NEUROPATHY,"Diabetic patients with neuropathy may not feel pain - risk of over-needling and poor wound healing. Gentle technique, excellent sterility essential.",ALL POINTS,2026-01-24 13:03:46.192
78,ALL POINTS,🟡 YELLOW - IMMUNOSUPPRESSION,"Immunocompromised patients (HIV, chemotherapy, immunosuppressants) at higher infection risk. Impeccable sterile technique essential. Consider avoiding in severe immunosuppression.",ALL POINTS,2026-01-24 13:03:46.192
79,HEAD/NECK POINTS,🟡 YELLOW - SEVERE HYPERTENSION,Uncontrolled severe hypertension increases risk of bleeding and stroke with head/neck needling. Control blood pressure first. Specific points like LR3 may help reduce BP.,HEAD/NECK POINTS,2026-01-24 13:03:46.192
80,ALL POINTS,🟡 YELLOW - SEIZURE DISORDERS,Strong stimulation in epilepsy patients may trigger seizures. Gentle technique. Avoid if seizures uncontrolled. Some points may help seizure control when stable.,ALL POINTS,2026-01-24 13:03:46.192
81,ALL POINTS,🟡 YELLOW - SEVERE HYPOTENSION,"Patients with severe low blood pressure risk vasovagal syncope. Have patient lie down, monitor during treatment. Use gentle stimulation. Have emergency protocols ready.",ALL POINTS,2026-01-24 13:03:46.192
82,ABDOMINAL POINTS,🟡 YELLOW - RECENT ABDOMINAL SURGERY,Avoid needling surgical sites and abdomen for 4-6 weeks post-surgery - risk of wound dehiscence and infection. Gentle distal points safer.,ABDOMINAL POINTS,2026-01-24 13:03:46.192
83,ALL POINTS,🟡 YELLOW - PREGNANCY FIRST TRIMESTER,Extra caution in first 12 weeks - critical fetal development period. Avoid forbidden points absolutely. Use gentle technique for other points. Many practitioners avoid strong stimulation.,ALL POINTS,2026-01-24 13:03:46.192
84,LIMB POINTS,🟡 YELLOW - PERIPHERAL VASCULAR DISEASE,"Poor circulation increases infection and poor healing risk. Gentle technique, impeccable sterility. Avoid in areas with severe ischemia or gangrene.",LIMB POINTS,2026-01-24 13:03:46.192
85,ALL POINTS,🟡 YELLOW - NEEDLE PHOBIA/ANXIETY,"Severe needle phobia increases vasovagal syncope risk. Patient education, lying position, minimal needles, calm environment essential. Consider alternative therapies.",ALL POINTS,2026-01-24 13:03:46.192
86,GB21 (Jianjing),🟡 YELLOW - HISTORY HEART DISEASE,Contraindicated in patients with heart disease history - can affect cardiac function and trigger events. Also forbidden in pregnancy.,GB21 (Jianjing),2026-01-24 13:03:46.192
87,SCALP POINTS,🟡 YELLOW - INFECTION RISK,Hair makes sterile technique challenging. Risk of folliculitis and scalp infection. Careful skin preparation essential. Part hair to visualize skin.,SCALP POINTS,2026-01-24 13:03:46.192
88,FINGER/TOE JING-WELL POINTS,🟡 YELLOW - BLOODLETTING TECHNIQUE,Often used for pricking/bloodletting. Contraindicated in anticoagulation and bleeding disorders. Risk of infection with improper technique. Single-use lancets essential.,FINGER/TOE JING-WELL POINTS,2026-01-24 13:03:46.192
89,JOINT POINTS,🟡 YELLOW - JOINT CAPSULE CAUTION,"Risk of joint capsule puncture with deep needling at joint lines. Can cause joint pain, effusion, and rarely septic arthritis. Proper angle and depth essential.",JOINT POINTS,2026-01-24 13:03:46.192
90,PERIOSTEAL POINTS,🟡 YELLOW - PERIOSTEAL PAIN,Needling to periosteum (bone surface) causes sharp pain. May be therapeutic but requires patient consent and tolerance. Reduce depth if too painful.,PERIOSTEAL POINTS,2026-01-24 13:03:46.192
