id,category,question_hebrew,answer_hebrew,acupoint_codes,description_hebrew,pharmacopeia_hebrew,source_file,created_at,updated_at,search_vector,search_keywords,search_updated_at
90,adult,מתח משפחתי - שינה?,"מתח משפחתי (לב/כבד) - HT7, LV3, PC6.","[""HT7"",""LV3"",""PC6""]",HT7: שינה | LV3: כבד | PC6: מרגיע,גן מאי דאזהו (甘麦大枣汤) - מתח משפחתי,adult_18_70_hebrew_100qa.csv,2026-01-22 16:53:24.123739+00,2026-01-30 10:31:31.587105+00,"'adult':11 'ht7':8 'lv3':9 'pc6':10 'כבד':7 'לב':6 'משפחתי':2,5 'מתח':1,4 'שינה':3","[""מתח משפחתי"",""לב"",""מתח"",""משפחתי"",""משפחתי שינה"",""משפחתי לב"",""שינה""]",2026-01-30 10:31:31.587105+00
91,adult,כאבי מחזור אצל נשים 30+?,"כאבי מחזור (דם סטגנטי) - SP6, SP10, REN6.","[""SP6"",""SP10"",""REN6""]",SP6: דם | SP10: מפעיל | REN6: מחמם,ונג ג'וי טאנג (温经汤) - מחזור נשים,adult_18_70_hebrew_100qa.csv,2026-01-22 16:53:24.123739+00,2026-01-30 10:31:31.587105+00,"'30':5 'adult':13 'ren6':12 'sp10':11 'sp6':10 'אצל':3 'דם':8 'כאבי':1,6 'מחזור':2,7 'נשים':4 'סטגנטי':9","[""אצל"",""כאבי"",""כאבי מחזור"",""מחזור דם"",""דם סטגנטי"",""אצל נשים"",""כאב"",""מחזור אצל"",""מחזור"",""נשים""]",2026-01-30 10:31:31.587105+00
92,adult,משבר גיל 45 - חיוניות?,"משבר אמצע (כליות חלשות) - KI3, BL23, REN4.","[""BL23"",""REN4"",""KI3""]",KI3: כליות | BL23: חיוניות | REN4: דאנטיאן,ג'ין גוויי רן (金匮肾气丸) - חיוניות אמצע חיים,adult_18_70_hebrew_100qa.csv,2026-01-22 16:53:24.123739+00,2026-01-30 10:31:31.587105+00,"'45':3 'adult':12 'bl23':10 'ki3':9 'ren4':11 'אמצע':6 'גיל':2 'חיוניות':4 'חלשות':8 'כליות':7 'משבר':1,5","[""גיל חיוניות"",""אמצע"",""כליות"",""כליות חלשות"",""משבר אמצע"",""משבר גיל"",""משבר"",""גיל"",""חיוניות""]",2026-01-30 10:31:31.587105+00
93,adult,שיער מאפיר מוקדם?,"שיער לבן (כליות ג'ינג חלש) - KI3, BL23, DU20.","[""BL23"",""KI3"",""DU20""]",KI3: ג'ינג | BL23: כליות | DU20: ראש,הו ז'או רן טאנג (何首乌汤) - שיער שחור,adult_18_70_hebrew_100qa.csv,2026-01-22 16:53:24.123739+00,2026-01-30 10:31:31.587105+00,"'adult':13 'bl23':11 'du20':12 'ki3':10 'ג':7 'חלש':9 'ינג':8 'כליות':6 'לבן':5 'מאפיר':2 'מוקדם':3 'שיער':1,4","[""חלש"",""לבן"",""מוקדם"",""לב"",""לבן כליות"",""ג ינג"",""שיער"",""מאפיר"",""מאפיר מוקדם"",""שיער מאפיר""]",2026-01-30 10:31:31.587105+00
94,adult,התאוששות מאימון 30+?,"התאוששות (דם קי חסרים) - ST36, SP10, B17.","[""SP10"",""ST36"",""B17"",""BL17""]",ST36: קי | SP10: דם | BL17: התאוששות,שיה ניאנג סאן (十全大补汤) - ספורט מבוגרים,adult_18_70_hebrew_100qa.csv,2026-01-22 16:53:24.123739+00,2026-01-30 10:31:31.587105+00,"'30':3 'adult':11 'b17':10 'sp10':9 'st36':8 'דם':5 'התאוששות':1,4 'חסרים':7 'מאימון':2 'קי':6","[""חסרים"",""קי חסרים"",""דם קי"",""התאוששות"",""התאוששות דם"",""התאוששות מאימון"",""מאימון""]",2026-01-30 10:31:31.587105+00
95,adult,עיכול איטי גיל 50?,"טחול חלש - ST36, SP6, PC6.","[""SP6"",""PC6"",""ST36""]",ST36: טחול | SP6: עיכול | PC6: קיבה,פינג ווי סאן (平胃散) - עיכול 50+,adult_18_70_hebrew_100qa.csv,2026-01-22 16:53:24.123739+00,2026-01-30 10:31:31.587105+00,'50':4 'adult':10 'pc6':9 'sp6':8 'st36':7 'איטי':2 'גיל':3 'חלש':6 'טחול':5 'עיכול':1,"[""איטי"",""חלש"",""עיכול איטי"",""עיכול"",""איטי גיל"",""טחול"",""טחול חלש"",""גיל""]",2026-01-30 10:31:31.587105+00
177,allergies,מה גורם לשיעול אלרגי אביבי?,"שיעול אלרגי אביבי (רוח פולש לריאות) עם גרד בגרון, נזלת שקופה. מפזרים רוח: LU7, LI20, LI4.","[""LU7"",""LI4"",""LI20""]",LU7: פותח ריאות מרוח | LI20: פותח אף | LI4: שער רוח,יו פינג פנג סאן (玉屏风散) - מגן ריאות מאלרגנים,allergies_hebrew_75qa.csv,2026-01-22 16:53:24.305732+00,2026-01-30 10:31:31.587105+00,"'allergies':22 'li20':20 'li4':21 'lu7':19 'אביבי':5,8 'אלרגי':4,7 'בגרון':14 'גורם':2 'גרד':13 'לריאות':11 'לשיעול':3 'מה':1 'מפזרים':17 'נזלת':15 'עם':12 'פולש':10 'רוח':9,18 'שיעול':6 'שקופה':16","[""גורם"",""גורם לשיעול"",""מה גורם"",""עם גרד"",""נזלת שקופה"",""לשיעול"",""לשיעול אלרגי"",""אביבי רוח"",""מפזרים"",""שקופה"",""אלרגי"",""אביבי"",""אלרגי אביבי""]",2026-01-30 10:31:31.587105+00
178,allergies,נזלת אלרגית - טיפול יומי?,"נזלת אלרגית (רוח קור/חום בריאות) מטופלת ביוםי: LI20, BL2, DU23 + הזנת ריאות LU9.","[""LU9"",""DU23"",""BL2"",""LI20""]",LI20: פותח אף | BL2: סינוסים | DU23: פותח מצח,"צ'ינג צ'ואן סאן (苍耳子散) - פותח אף, מפזר רוח",allergies_hebrew_75qa.csv,2026-01-22 16:53:24.305732+00,2026-01-30 10:31:31.587105+00,"'allergies':19 'bl2':14 'du23':15 'li20':13 'lu9':18 'אלרגית':2,6 'ביוםי':12 'בריאות':10 'הזנת':16 'חום':9 'טיפול':3 'יומי':4 'מטופלת':11 'נזלת':1,5 'קור':8 'רוח':7 'ריאות':17","[""טיפול"",""אלרגית רוח"",""נזלת"",""נזלת אלרגית"",""יומי"",""טיפול יומי"",""אלרגית"",""אלרגית טיפול"",""חום"",""בריאות""]",2026-01-30 10:31:31.587105+00
179,allergies,אסתמה אלרגית - מניעה?,"אסתמה אלרגית (ריאות קי חלש + רוח) מונעת בחיזוק ריאות: LU9, BL13, REN22.","[""LU9"",""BL13"",""REN22""]",LU9: מחזק ריאות קי | BL13: מחזק ריאות | REN22: פותח חזה,בו פנג טאנג (补肺汤) - מחזק ריאות קי,allergies_hebrew_75qa.csv,2026-01-22 16:53:24.305732+00,2026-01-30 10:31:31.587105+00,"'allergies':16 'bl13':14 'lu9':13 'ren22':15 'אלרגית':2,5 'אסתמה':1,4 'בחיזוק':11 'חלש':8 'מונעת':10 'מניעה':3 'קי':7 'רוח':9 'ריאות':6,12","[""חלש"",""אסתמה"",""בחיזוק"",""ריאות"",""אלרגית מניעה"",""אסתמה אלרגית"",""אלרגית"",""מונעת בחיזוק"",""מניעה""]",2026-01-30 10:31:31.587105+00
180,allergies,פריחה אלרגית - מה עושים?,"פריחה אדומה מגרדת (רוח חום תוקפת עור) מטופלת בפיזור רוח חום: LI11, SP10, LV3.","[""LV3"",""SP10"",""LI11""]",LI11: מפזר חום עור | SP10: מנקה דם | LV3: מפזר חום ירוק,סיאו פנג ז'ינג סאן (消风散) - מפזר רוח עור,allergies_hebrew_75qa.csv,2026-01-22 16:53:24.305732+00,2026-01-30 10:31:31.587105+00,"'allergies':19 'li11':16 'lv3':18 'sp10':17 'אדומה':6 'אלרגית':2 'בפיזור':13 'חום':9,15 'מגרדת':7 'מה':3 'מטופלת':12 'עור':11 'עושים':4 'פריחה':1,5 'רוח':8,14 'תוקפת':10","[""תוקפת"",""מה עושים"",""פריחה"",""עור"",""תוקפת עור"",""אלרגית"",""עושים"",""חום"",""חום תוקפת"",""אלרגית מה"",""פריחה אלרגית""]",2026-01-30 10:31:31.587105+00
181,allergies,אקזמה אלרגית - גישה ארוכת טווח?,"אקזמה אלרגית (דם חום/רוח פנימית) מטופלת בפיזור רוח, ניקוי דם: SP10, LI11, DU14.","[""SP10"",""DU14"",""LI11""]",SP10: מנקה דם אלרגי | LI11: מפזר חום | DU14: מפזר פתוגן,לונג דאן שיה גאו טאנג (龙胆泻肝汤) - מנקה חום ירוק עור,allergies_hebrew_75qa.csv,2026-01-22 16:53:24.305732+00,2026-01-30 10:31:31.587105+00,"'allergies':20 'du14':19 'li11':18 'sp10':17 'אלרגית':2,7 'אקזמה':1,6 'ארוכת':4 'בפיזור':13 'גישה':3 'דם':8,16 'חום':9 'טווח':5 'מטופלת':12 'ניקוי':15 'פנימית':11 'רוח':10,14","[""פנימית מטופלת"",""גישה ארוכת"",""טווח"",""ארוכת טווח"",""אקזמה אלרגית"",""אלרגית גישה"",""בפיזור רוח"",""בפיזור"",""רוח ניקוי"",""גישה"",""אקזמה"",""אלרגית"",""ארוכת""]",2026-01-30 10:31:31.587105+00
182,allergies,רגישות לחלב - גישה TCM?,"רגישות לחלב (טחול חלש + לחות קרה) מטופלת בחיזוק טחול, ניקוז לחות: ST36, SP9, REN12.","[""REN12"",""ST36"",""SP9""]",ST36: מחזק טחול | SP9: מנקז לחות | REN12: מחזק קיבה,פינג ווי סאן (平胃散) - מייבש לחות מחלב,allergies_hebrew_75qa.csv,2026-01-22 16:53:24.305732+00,2026-01-30 10:31:31.587105+00,"'allergies':19 'ren12':18 'sp9':17 'st36':16 'tcm':4 'בחיזוק':12 'גישה':3 'חלש':8 'טחול':7,13 'לחות':9,15 'לחלב':2,6 'מטופלת':11 'ניקוז':14 'קרה':10 'רגישות':1,5","[""לב"",""לחות"",""רגישות"",""קרה מטופלת"",""גישה"",""ניקוז לחות"",""לחלב"",""טחול ניקוז"",""לחלב גישה"",""רגישות לחלב""]",2026-01-30 10:31:31.587105+00
183,allergies,אלרגיה לבוטנים - סיבה?,"אלרגיה לבוטנים (חום רטוב/רעלים) מטופלת בניקוי חום, ניקוי רעלים: LI11, SP10.","[""SP10"",""LI11""]",LI11: מפזר חום רעיל | SP10: מנקה דם,בה טו טאנג (白虎汤) - מקרר חום רטוב מאלרגנים,allergies_hebrew_75qa.csv,2026-01-22 16:53:24.305732+00,2026-01-30 10:31:31.587105+00,"'allergies':16 'li11':14 'sp10':15 'אלרגיה':1,4 'בניקוי':10 'חום':6,11 'לבוטנים':2,5 'מטופלת':9 'ניקוי':12 'סיבה':3 'רטוב':7 'רעלים':8,13","[""לבוטנים"",""לבוטנים חום"",""חום רטוב"",""לב"",""לבוטנים סיבה"",""אלרגיה לבוטנים"",""סיבה"",""אלרגיה"",""בניקוי""]",2026-01-30 10:31:31.587105+00
184,allergies,עיניים אדומות מגרדות?,"עיניים אדומות מגרדות (רוח חום תוקפת עיניים) מטופלת בפיזור חום: BL1, GB1, LV2.","[""BL1"",""LV2"",""GB1""]",BL1: פותח עיניים | GB1: פותח עיניים | LV2: מפזר חום ירוק,צ'י ג'ואו דיאו הוא טאנג (杞菊地黄汤) - מזין ומקרר עיניים,allergies_hebrew_75qa.csv,2026-01-22 16:53:24.305732+00,2026-01-30 10:31:31.587105+00,"'allergies':17 'bl1':14 'gb1':15 'lv2':16 'אדומות':2,5 'בפיזור':12 'חום':8,13 'מגרדות':3,6 'מטופלת':11 'עיניים':1,4,10 'רוח':7 'תוקפת':9","[""מגרדות רוח"",""תוקפת"",""בפיזור חום"",""תוקפת עיניים"",""רוח חום"",""עיניים אדומות"",""גרד"",""מגרדות"",""אדומות"",""עיניים"",""אדומות מגרדות""]",2026-01-30 10:31:31.587105+00
185,allergies,איך מחסנים מפני אלרגיות אביב?,"אלרגיות אביב (רוח עץ) מונעות בחיזוק ריאות, פתיחת אף: LI20, LU7, DU23.","[""LU7"",""DU23"",""LI20""]",LI20: פותח אף | LU7: מגן ריאות | DU23: סינוסים,יו פינג פנג סאן (玉屏风散) - מגן עונתי מרוח,allergies_hebrew_75qa.csv,2026-01-22 16:53:24.305732+00,2026-01-30 10:31:31.587105+00,"'allergies':18 'du23':17 'li20':15 'lu7':16 'אביב':5,7 'איך':1 'אלרגיות':4,6 'אף':14 'בחיזוק':11 'מונעות':10 'מחסנים':2 'מפני':3 'עץ':9 'פתיחת':13 'רוח':8 'ריאות':12","[""פתיחת"",""ריאות פתיחת"",""מונעות בחיזוק"",""אלרגיות"",""איך"",""בחיזוק"",""מחסנים"",""אלרגיות אביב"",""מפני אלרגיות"",""מפני"",""מחסנים מפני"",""איך מחסנים"",""אביב""]",2026-01-30 10:31:31.587105+00
240,anxiety,חרדה עם דופק מהיר - סיבה?,"חרדה דופק מהיר (אש לב עולה/קי לב תקוע) - HT7, PC6, REN14.","[""HT7"",""REN14"",""PC6""]",HT7: מרגיע שן | PC6: מרגיע דופק | REN14: מוריד אש לב,גן מאי דאזהו שיאו טאנג (甘麦大枣汤) - חרדה לב,anxiety_depression_hebrew_100qa.csv,2026-01-22 16:53:24.483824+00,2026-01-30 10:31:31.587105+00,"'anxiety':18 'ht7':15 'pc6':16 'ren14':17 'אש':9 'דופק':3,7 'חרדה':1,6 'לב':10,13 'מהיר':4,8 'סיבה':5 'עולה':11 'עם':2 'קי':12 'תקוע':14","[""עולה קי"",""חרדה דופק"",""לב"",""תקוע"",""דופק מהיר"",""דופק"",""עם דופק"",""סיבה"",""חרדה עם"",""מהיר סיבה"",""חרדה"",""מהיר""]",2026-01-30 10:31:31.587105+00
241,anxiety,חרדה עם חלומות - טיפול?,"חרדה חלומות (יין לב חסר) - HT7, KI3, PC6.","[""HT7"",""KI3"",""PC6""]",HT7: יין לב | KI3: יין כליות | PC6: מרגיע,טיאנג וואן שין דאן (天王心丹) - יין לב חרדה,anxiety_depression_hebrew_100qa.csv,2026-01-22 16:53:24.483824+00,2026-01-30 10:31:31.587105+00,"'anxiety':13 'ht7':10 'ki3':11 'pc6':12 'חלומות':3,6 'חסר':9 'חרדה':1,5 'טיפול':4 'יין':7 'לב':8 'עם':2","[""טיפול"",""חלומות"",""לב"",""חלומות טיפול"",""יין"",""חרדה חלומות"",""לב חסר"",""עם חלומות"",""חרדה עם"",""חרדה""]",2026-01-30 10:31:31.587105+00
242,anxiety,פחד ודאגה מתמשכת?,"פחד (כליות חלשות) - KI3, REN4, HT7.","[""HT7"",""REN4"",""KI3""]",KI3: כליות פחד | REN4: דאנטיאן | HT7: שן,גוויי שין טאנג (归肾汤) - פחד כליות,anxiety_depression_hebrew_100qa.csv,2026-01-22 16:53:24.483824+00,2026-01-30 10:31:31.587105+00,"'anxiety':10 'ht7':9 'ki3':7 'ren4':8 'ודאגה':2 'חלשות':6 'כליות':5 'מתמשכת':3 'פחד':1,4","[""פחד ודאגה"",""כליות"",""כליות חלשות"",""מתמשכת"",""ודאגה מתמשכת"",""דאגה"",""ודאגה"",""פחד"",""חלשות"",""פחד כליות""]",2026-01-30 10:31:31.587105+00
243,anxiety,דכאון ועצבות - סיבה?,"דכאון (קי טחול חסר/דם חסר) - ST36, SP6, REN12.","[""SP6"",""REN12"",""ST36""]",ST36: טחול יי | SP6: דם | REN12: קיבה,גי שן טאנג (归脾汤) - דכאון טחול,anxiety_depression_hebrew_100qa.csv,2026-01-22 16:53:24.483824+00,2026-01-30 10:31:31.587105+00,"'anxiety':13 'ren12':12 'sp6':11 'st36':10 'דכאון':1,4 'דם':8 'ועצבות':2 'חסר':7,9 'טחול':6 'סיבה':3 'קי':5","[""חסר דם"",""דכאון קי"",""טחול חסר"",""ועצבות סיבה"",""טחול"",""ועצבות"",""דכאון"",""קי טחול"",""דכאון ועצבות"",""סיבה""]",2026-01-30 10:31:31.587105+00
244,anxiety,דיכאון עם בכי?,"דיכאון בכי (ריאות קי חסר) - LU7, LU9, HT7.","[""LU7"",""HT7"",""LU9""]",LU7: ריאות | LU9: קי ריאות | HT7: שן,בה זי יינג פי טאנג (补肺养脾汤) - דכאון ריאות,anxiety_depression_hebrew_100qa.csv,2026-01-22 16:53:24.483824+00,2026-01-30 10:31:31.587105+00,"'anxiety':12 'ht7':11 'lu7':9 'lu9':10 'בכי':3,5 'דיכאון':1,4 'חסר':8 'עם':2 'קי':7 'ריאות':6","[""דיכאון בכי"",""דיכאון"",""בכי"",""בכי ריאות"",""ריאות"",""עם בכי"",""דיכאון עם""]",2026-01-30 10:31:31.587105+00
245,anxiety,עצבות ללא סיבה?,"עצבות (כבד קי תקוע) - LV3, PC6, LI4.","[""PC6"",""LV3"",""LI4""]",LV3: מפזר כבד | PC6: מרגיע | LI4: שער,שיאו יאו סאן (逍遥散) - עצבות כבד,anxiety_depression_hebrew_100qa.csv,2026-01-22 16:53:24.483824+00,2026-01-30 10:31:31.587105+00,"'anxiety':11 'li4':10 'lv3':8 'pc6':9 'כבד':5 'ללא':2 'סיבה':3 'עצבות':1,4 'קי':6 'תקוע':7","[""עצבות כבד"",""ללא"",""תקוע"",""ללא סיבה"",""סיבה"",""עצבות"",""כבד קי"",""כבד"",""עצבות ללא""]",2026-01-30 10:31:31.587105+00
246,anxiety,חרדה+דיכאון - גישה?,"חרדה+דיכאון (שילוב לב/טחול/כבד) - HT7, LV3, ST36.","[""HT7"",""LV3"",""ST36""]",HT7: לב | LV3: כבד | ST36: טחול,גן לון שיה וו טאנג (甘露四物汤) - מאזן רגשות,anxiety_depression_hebrew_100qa.csv,2026-01-22 16:53:24.483824+00,2026-01-30 10:31:31.587105+00,"'anxiety':13 'ht7':10 'lv3':11 'st36':12 'גישה':3 'דיכאון':2,5 'חרדה':1,4 'טחול':8 'כבד':9 'לב':7 'שילוב':6","[""חרדה דיכאון"",""טחול כבד"",""לב טחול"",""דיכאון"",""גישה"",""שילוב לב"",""דיכאון גישה"",""חרדה""]",2026-01-30 10:31:31.587105+00
247,anxiety,נדודי שינה מחרדה?,"חרדה שינה (שן מוסחת) - HT7, PC6, ANMIAN, KI3.","[""HT7"",""KI3"",""PC6""]",HT7: שינה | PC6: מרגיע | ANMIAN: שינה | KI3: יין,סואן זאו רן טאנג (酸枣仁汤) - שינה חרדה,anxiety_depression_hebrew_100qa.csv,2026-01-22 16:53:24.483824+00,2026-01-30 10:31:31.587105+00,"'anmian':10 'anxiety':12 'ht7':8 'ki3':11 'pc6':9 'חרדה':4 'מוסחת':7 'מחרדה':3 'נדודי':1 'שינה':2,5 'שן':6","[""שינה שן"",""מחרדה"",""שן מוסחת"",""נדודי"",""נדודי שינה"",""שינה"",""חרדה שינה"",""מוסחת"",""חרדה"",""שינה מחרדה""]",2026-01-30 10:31:31.587105+00
